m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore BeadsOnly,SelScore Intstd BeadsOnly,Ln(Concentration-Dependent Enrichment) BeadsOnly,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_BeadsOnly,yint_toberemoved_BeadsOnly,Slope_toberemoved_BeadsOnly,Area of Beads Only Reference,SelScore Rank BeadsOnly,SelScore Intstd Rank BeadsOnly,Concentration-Dependent Enrichment Rank BeadsOnly,Total Rank BeadsOnly,Total Intstd Rank BeadsOnly
363.61255518367955,16.481725673111907,5.0,1813.0263935683977,BeadsOnly,0.026267183081146433,0.23758147057356754,1289058.8632450993,-12.05973516875742,0.7624185294264324,4136696.184625689,3.3730523344599925,"((1, 429686.7654962696), (0.6, 2099311.361556017), (0.3, 1232275.7861554103))",1215514.4557416358,-172773.2238471988,"((1, 1215514.543845106), (0.6, 1215514.0844568638), (0.3, 1215514.7389229375))",1215514.4557416358,-0.034284828705224646,1215514.4557416358,8,34,2,10,36
554.4003675327706,11.695924860234838,4.0,2213.5723642510825,BeadsOnly,0.021869962034200316,0.2619990652059333,7969631.23786957,-14.696367553415042,0.7380009347940668,22448917.132161364,3.1466636646929054,"((1, 2656543.9961646427), (0.6, 7690383.311701027), (0.3, 11493575.696396982))",7482972.847379201,-2412966.72208287,"((1, 7482972.743596015), (0.6, 7482972.881729181), (0.3, 7482972.916812408))",7482972.847379201,-0.04299533469271455,7482972.847379201,10,19,4,14,23
410.7390702276309,18.870457252388327,2.0,819.4635875152618,BeadsOnly,0.04161771056602721,0.26905491400103904,5196494.680997802,13.84291548001072,0.730945085998961,14117386.651709374,3.400561762618966,"((1, 1847073.2916940178), (0.6, 3261232.2165096826), (0.3, 1278027.3320263005))",1419439.037035079,1027783.8908725772,"((1, 1419438.973165352), (0.6, 1419439.0248508882), (0.3, 1419439.1130889978))",1419439.037035079,-0.033354527369725995,1419439.037035079,13,28,1,14,29
448.98262112288353,18.81068612676093,2.0,895.950689305767,BeadsOnly,0.000325548019078745,0.11352602084283595,4389580.921769771,13.476203503411655,0.8864739791571641,34276276.37844032,1.5825675463009008,"((1, 1368602.103113777), (0.6, 2575524.779843483), (0.3, 2949745.035842297))",1455820.0452165026,712263.7116934133,"((1, 1455819.603348152), (0.6, 1455820.083249172), (0.3, 1455820.4490521841))",1455820.0452165026,-0.20544692594692893,1455820.0452165026,0,11,14,14,25
449.2310714583043,15.446761161602776,4.0,1792.8951799532172,BeadsOnly,0.0026472699729135946,0.19324268646634493,8402377.819316566,-16.16676428661918,0.8067573135336551,35078583.72682671,1.6967495257907412,"((1, 3169884.313621164), (0.6, 3867697.8706729226), (0.3, 4789737.978416953))",11658196.964254864,-10498724.02819505,"((1, 11658196.298967162), (0.6, 11658197.630747719), (0.3, 11658196.963049708))",11658196.964254864,-0.18327829826155972,11658196.964254864,2,10,13,15,23
448.9810873881756,15.93829688771757,2.0,895.9476218363511,BeadsOnly,0.0240311033139536,0.22864474009607427,11868509.002627397,-16.13142241368968,0.7713552599039257,40039568.99488248,1.963126619294129,"((1, 3956169.259215692), (0.6, 8254516.165728621), (0.3, 8187102.484381366))",13715547.97483535,-10134159.598295625,"((1, 13715547.59493517), (0.6, 13715548.182578715), (0.3, 13715548.146992171))",13715547.97483535,-0.14041869804568408,13715547.97483535,6,8,11,17,19
612.9662779974768,67.71087083811018,3.0,1835.8770045824303,BeadsOnly,0.03598449985612805,0.2645831183327068,6261103.690479947,-15.367686171865348,0.7354168816672931,17402929.487202846,2.759040106216242,"((1, 2087034.5308576853), (0.6, 2558154.508482141), (0.3, 1844708.8384301371))",5800974.120445992,-4721731.681096317,"((1, 5800974.520621017), (0.6, 5800972.880500271), (0.3, 5800974.960216689))",5800974.120445992,-0.06335255090237757,5800974.120445992,12,24,5,17,29
439.75031103007126,64.73090147101962,2.0,877.4860691201425,BeadsOnly,0.007886687674165558,0.21421674054250148,5287761.995072552,-15.309926871368546,0.7857832594574986,19396405.926077563,1.437022563645771,"((1, 1762587.135802824), (0.6, 4131426.4495369256), (0.3, 5268939.5915578045))",6465468.343731592,-4456734.457354091,"((1, 6465465.661008551), (0.6, 6465473.454852763), (0.3, 6465465.915333465))",6465468.343731592,-0.23763424724458693,6465468.343731592,3,23,16,19,39
319.5043642063885,41.827239427692206,5.0,1592.4854386819427,BeadsOnly,0.0057748753267062155,0.22359281954708485,78881429.3628182,-18.087185280751832,0.7764071804529152,273909100.8635208,1.5265003832468274,"((1, 28247162.50357382), (0.6, 65680207.39849776), (0.3, 28848573.82705519))",94836871.36552632,-71641514.88644569,"((1, 94836870.60709278), (0.6, 94836872.08494644), (0.3, 94836871.40453972))",94836871.36552632,-0.2172947867037045,94836871.36552632,4,0,15,19,15
387.5618989628738,16.32396797994041,3.0,1159.6638674786213,BeadsOnly,0.023055875584391528,0.29366065820807125,9394396.43667679,-15.196218157036808,0.7063393417919288,22596257.313136898,2.503792934487951,"((1, 3131467.4955750867), (0.6, 4837536.150176942), (0.3, 3356461.8410485946))",6741376.246414502,-3977715.2595440974,"((1, 6741376.051463754), (0.6, 6741376.306057391), (0.3, 6741376.381722362))",6741376.246414502,-0.08177424530771038,6741376.246414502,16,17,8,24,25
426.2454937893874,88.37205633706434,2.0,850.4764346387748,BeadsOnly,0.018490424553626983,0.15871050719402924,2318405.1568276766,-14.882458717514355,0.8412894928059708,12289355.840327626,0.9946139408851175,"((1, 772803.0104307745), (0.6, 3187838.301718874), (0.3, 2944439.6158045824))",4096450.935265412,-2906495.789620447,"((1, 4096449.021883402), (0.6, 4096453.6121366993), (0.3, 4096450.171776134))",4096450.935265412,-0.3698662072054512,4096450.935265412,1,30,24,25,54
319.3040163257301,42.12538561964339,5.0,1591.4836992786506,BeadsOnly,0.011180576332897485,0.2714769400504055,78053142.6467096,-17.59770139713453,0.7285230599495944,209459832.2388087,1.7356681834768595,"((1, 26017714.217850327), (0.6, 56247841.569563545), (0.3, 29310417.60728063))",69595867.69429356,-43912140.86652611,"((1, 69595867.51382478), (0.6, 69595867.26335596), (0.3, 69595868.30569991))",69595867.69429356,-0.1762823719570492,69595867.69429356,14,2,12,26,14
